id,RomanCommanders,EnemyCommanders
163,Aulus Plautius,Togodumnus; Caratacus
164,Publius Ostorius Scapula,Caratacus
165,,
166,,
167,,
168,Gaius Suetonius Paulinus,Boudica † 
169,Gnaeus Domitius Corbulo Tigranes VI of Armenia Lucius Caesennius Paetus,Tiridates I of Armenia Vologases I of Parthia
170,,
171,,
172,,
173,Suedius Clemens,Julius Classicus; Fabius Valens (not present at battle)
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,Constantius Chlorus,Unknown
210,Constantine I,Maxentius† 
211,Constantine I,
212,Constantine I,Ruricius Pompeianus† 
213,Licinius,Maximinus
214,Constantine,Licinius
215,Constantine I,Licinius; Valerius Valens
216,Constantine I,Licinius
217,Constantine,Licinius
218,Crispus,Abantus
219,Shapur II,Constantius II
220,Magnentius,Constantius II
221,Magnentius,Constantius II
222,Julian the Apostate,Unknown
223,Julian (Caesar) Severus (magister equitum),Chnodomar (high king) Serapio (2nd-in-command)
224,Ursicinus,Shapur II; Grumbates
225,Julian,Merena
226,Valens,Gomoarius
227,Valentinian I,Unknown
228,Richomeres; Profuturus; Traianus,Fritigern
229,Emperor Valens † ,Fritigern Alatheus Saphrax
230,Mallobaudes Naniemus,Priarius† 
231,,
232,Theodosius I,Magnus Maximus
233,Theodosius I; Timasius Stilicho; Alaric,Eugenius† ; Arbogast† 
234,Stilicho,Alaric I
235,Stilicho,Alaric I
236,unknown,Godegisel†  Respendial
237,Honorius,Alaric I
238,,
239,Bonifacius,Concolitanus; Aneroëstes † 
240,Flavius Aetius,Theodoric I
241,General Arnegisclus,Attila the Hun
242,,
243,Petronius Maximus,Genseric
244,,
245,,
246,Syagrius,Clovis I
247,Unknown; by later traditions King Arthur,Unknown; possibly Ælle
